"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"535",657277,"Webb, Logan","535","100.0","0.252","0.104","0.340","0.356","0.279","0.252","0.219","34","135","89.3","0.5","2052","88.7","89.54","77","259","276","0.8","6.72","112","154","112","151","295","322","299"
"528",605400,"Nola, Aaron","528","100.0","0.266","0.164","0.358","0.430","0.315","0.271","0.215","34","128","89.4","15.6","2198","88.2","88.91","66","256","272","0.7","6.84","110","151","113","150","294","317","292"
"520",448179,"Hill, Rich","520","100.0","0.237","0.119","0.317","0.356","0.300","0.307","0.237","28","118","86.7","20.3","2513","79.5","78.69","63","255","265","-0.8","6.11","106","155","107","148","301","318","295"
"518",543135,"Eovaldi, Nathan","518","100.0","0.252","0.134","0.345","0.386","0.294","0.267","0.212","32","127","87.9","11.2","2000","89.2","89.93","78","265","253","0.7","6.75","110","153","115","150","287","326","297"
"515",502043,"Gibson, Kyle","515","100.0","0.268","0.236","0.341","0.504","0.355","0.320","0.243","34","127","90.6","6.8","2231","88.7","89.31","73","245","270","0.6","6.66","109","150","110","148","294","319","293"
"506",657006,"Steele, Justin","506","100.0","0.241","0.198","0.265","0.440","0.339","0.315","0.231","28","116","87.6","10.8","2527","89.0","89.24","56","234","272","0.2","6.30","103","151","116","149","303","323","298"
"505",621121,"McCullers Jr., Lance","505","100.0","0.181","0.124","0.233","0.305","0.260","0.278","0.205","19","105","88.7","0.3","2551","87.7","86.86","57","209","296","-0.8","5.83","114","156","115","151","287","316","288"
"504",615698,"Quantrill, Cal","504","100.0","0.215","0.215","0.225","0.430","0.298","0.285","0.215","26","121","88.6","18.9","2045","89.3","89.73","55","233","271","0.4","6.41","113","154","118","151","287","311","293"
"502",571578,"Corbin, Patrick","502","100.0","0.304","0.191","0.373","0.496","0.368","0.323","0.259","35","115","85.0","6.8","2157","88.0","88.87","67","245","257","0.9","6.68","107","150","116","142","298","323","284"
"498",641816,"Mahle, Tyler","498","100.0","0.231","0.115","0.296","0.346","0.295","0.285","0.221","24","104","85.7","8.8","2246","90.2","90.89","50","225","273","0.7","6.63","111","150","115","147","293","316","289"
"498",607644,"Means, John","498","100.0","0.209","0.145","0.241","0.355","0.263","0.317","0.252","23","110","90.3","18.9","2316","87.2","86.72","61","249","249","-0.5","6.09","109","155","119","149","297","325","288"
"498",645261,"Alcantara, Sandy","498","100.0","0.211","0.158","0.269","0.368","0.253","0.277","0.243","28","133","88.2","2.2","2257","94.9","93.81","76","268","230","-1.1","5.84","113","147","113","150","300","313","284"
"496",605397,"Musgrove, Joe","496","100.0","0.290","0.262","0.338","0.551","0.387","0.375","0.275","31","107","90.5","15.0","2738","87.9","87.34","60","226","270","-0.6","5.95","112","152","142","141","298","320","311"
"495",607200,"Fedde, Erick","495","100.0","0.296","0.316","0.300","0.612","0.382","0.339","0.247","29","98","88.8","4.6","2046","87.1","87.82","60","234","261","0.7","6.67","110","153","121","143","302","323","289"
"492",594835,"Gonzales, Marco","492","100.0","0.207","0.261","0.188","0.468","0.311","0.310","0.217","23","111","85.5","24.4","2166","84.4","84.54","40","229","263","0.1","6.43","109","155","115","147","297","313","286"
"491",543243,"Gray, Sonny","491","100.0","0.186","0.229","0.188","0.415","0.287","0.258","0.189","22","118","85.9","10.9","2512","86.7","86.98","50","206","285","0.3","6.46","115","152","117","147","292","321","289"
"490",571945,"Mikolas, Miles","490","100.0","0.254","0.178","0.269","0.432","0.312","0.325","0.261","30","118","86.6","7.3","2320","88.5","88.61","42","238","252","0.1","6.38","117","158","117","149","297","322","300"
